Email,Name,Gender,10th board,10th marks,12th board,12th marks,Stream,Cgpa,Internships(Y/N),Training(Y/N),Backlog in 5th sem,Innovative Project(Y/N),Communication level,Technical Course(Y/N),Placement(Y/N)?
nishant_dev95@gmail.com,Nishant Dev,Male,ICSE,94.6,ISE,79.6,Computer Science in Data Science,9.26,Yes,No,No,Yes,3,Yes,Placed
piyali_mishra80@gmail.com,Piyali Mishra,Female,WBBSE,79.6,CBSE,74.1,Mechanical Engineering,7.01,No,Yes,No,Yes,5,Yes,Placed
suvankar_kar61@gmail.com,Suvankar Kar,Male,CBSE,73.8,CBSE,73.4,Civil Engineering,8.87,No,Yes,No,Yes,5,No,Not Placed
arpita_chakraborty84@gmail.com,Arpita Chakraborty,Female,CBSE,77.8,WBCHSE,94.3,Computer Science and Engineering,9,Yes,Yes,No,No,4,No,Not Placed
vikram_roy16@gmail.com,Vikram Roy,Male,State Board,77.6,WBCHSE,80.9,Information Technology,7.74,No,No,No,Yes,3,Yes,Placed
anisha_modi58@gmail.com,Anisha Modi,Female,CBSE,71,ISE,67.1,Information Technology,8.48,Yes,Yes,No,Yes,3,Yes,Placed
ayush_singh43@gmail.com,Ayush Singh,Male,CBSE,94.1,CBSE,66.4,Electronics and Communication Engineering,7.05,No,Yes,Yes,Yes,2,Yes,Not Placed
shreya_banerjee81@gmail.com,Shreya Banerjee,Female,ICSE,72.1,CBSE,70.2,Computer Science in AIML,7.16,No,No,No,Yes,2,Yes,Placed
vidya_mishra44@gmail.com,Vidya Mishra,Female,ICSE,82.6,WBCHSE,67.3,Computer Science and Engineering,7.95,Yes,Yes,No,Yes,3,Yes,Placed
abhijit_ganguly66@gmail.com,Abhijit Ganguly,Male,WBBSE,71.9,WBCHSE,67.4,Electrical and Electronics Engineering,7.88,No,No,No,Yes,1,Yes,Placed
vidya_iyer45@gmail.com,Vidya Iyer,Female,CBSE,80.5,ISE,74.2,Electronics and Communication Engineering,8.86,Yes,Yes,Yes,Yes,2,Yes,Not Placed
ayesha_banerjee57@gmail.com,Ayesha Banerjee,Female,State Board,87.2,WBCHSE,80.4,Electronics and Communication Engineering,7.65,Yes,Yes,Yes,No,4,Yes,Not Placed
ayushi_mazumdar6@gmail.com,Ayushi Mazumdar,Female,CBSE,70.3,Other state Board,79,Computer Science and Engineering,9.34,Yes,Yes,No,Yes,2,Yes,Not Placed
anupam_pal96@gmail.com,Anupam Pal,Male,State Board,75.2,WBCHSE,82.5,Mechanical Engineering,8.52,No,No,No,No,5,No,Not Placed
suvankar_bhowmick11@gmail.com,Suvankar Bhowmick,Male,State Board,78.9,ISE,91.2,Electrical Engineering,8.65,No,Yes,No,Yes,1,Yes,Placed
madhuri_agarwal98@gmail.com,Madhuri Agarwal,Female,WBBSE,86.3,Other state Board,62.6,Computer Science in AIML,7.1,No,Yes,No,Yes,1,Yes,Placed
suhana_mukherjee68@gmail.com,Suhana Mukherjee,Female,State Board,96.9,CBSE,89.8,Civil Engineering,7.09,Yes,Yes,Yes,Yes,3,Yes,Not Placed
bharat_mahto54@gmail.com,Bharat Mahto,Male,ICSE,75.9,CBSE,85.4,Computer Science in AIML,7.64,No,Yes,Yes,Yes,4,Yes,Not Placed
jaya_singhania91@gmail.com,Jaya Singhania,Female,CBSE,99.6,ISE,81.7,Computer Science and Engineering,8.57,Yes,No,No,No,3,No,Not Placed
anupama_sinha15@gmail.com,Anupama Sinha,Female,CBSE,95,CBSE,92.5,Information Technology,7.69,Yes,Yes,No,No,5,Yes,Not Placed
piyali_dutta68@gmail.com,Piyali Dutta,Female,CBSE,72,CBSE,65.1,Civil Engineering,7.57,No,Yes,Yes,Yes,1,No,Not Placed
piyali_chakraborty49@gmail.com,Piyali Chakraborty,Female,ICSE,88.6,WBCHSE,73.2,Computer Science and Engineering,9.23,Yes,Yes,No,Yes,3,Yes,Placed
gopal_mahto11@gmail.com,Gopal Mahto,Male,CBSE,80.7,Other state Board,76.1,Computer Science in AIML,9.51,Yes,No,Yes,Yes,1,Yes,Not Placed
amateurz.media@gmail.com,Siddharth,Male,CBSE,95,CBSE,90,IMsc Maths and Computing,8.15,Yes,No,No,Yes,4,Yes,Not Placed
vidya_shukla46@gmail.com,Vidya Shukla,Female,State Board,92,Other state Board,67.4,Mechanical Engineering,9.35,No,Yes,No,Yes,2,Yes,Placed
vikas_dev23@gmail.com,Vikas Dev,Male,ICSE,84.4,Other state Board,87.6,Computer Science and Design,8.58,Yes,No,No,Yes,3,Yes,Placed
arnab_sengupta45@gmail.com,Arnab Sengupta,Male,WBBSE,86.6,WBCHSE,84.4,Computer Science and Design,7.13,No,No,No,Yes,3,Yes,Placed
rahul.2002.dey@gmail.com,Rahul Dey,Male,CBSE,96.4,CBSE,97,Electronics and Communication and Engineeing,8.91,No,Yes,Yes,No,3,Yes,Not Placed
ishika_patel12@gmail.com,Ishika Patel,Female,ICSE,76.1,Other state Board,60.4,Electronics and Communication Engineering,8.94,Yes,No,No,Yes,1,Yes,Placed
nikhil_das17@gmail.com,Nikhil Das,Male,CBSE,75.6,Other state Board,93.8,Electrical Engineering,8.99,Yes,No,No,Yes,4,Yes,Placed
pranab_mazumdar37@gmail.com,Pranab Mazumdar,Male,WBBSE,99.9,CBSE,86.9,Mechanical Engineering,7.6,No,Yes,No,Yes,4,Yes,Placed
shubhamsri28101999@gmail.com,Shubham Kumar Srivastava,Male,CBSE,75,CBSE,48,Information Technology,5.75,No,No,Yes,No,3,Yes,Not Placed
nayana_ghosh91@gmail.com,Nayana Ghosh,Female,State Board,79.6,WBCHSE,61.7,Computer Science in Data Science,7.92,No,Yes,Yes,Yes,4,Yes,Not Placed
sunil_sinha25@gmail.com,Sunil Sinha,Male,State Board,91.1,ISE,74.2,Chemical Engineering,8.37,No,No,No,Yes,2,Yes,Placed
piyali_bhat42@gmail.com,Piyali Bhat,Female,CBSE,86.4,ISE,85.1,Electronics and Communication Engineering,9.56,No,No,No,Yes,3,Yes,Not Placed
sanjana_mazumdar9@gmail.com,Sanjana Mazumdar,Female,State Board,70.4,ISE,87.2,Civil Engineering,9.35,No,No,No,Yes,1,Yes,Placed
arnav_bhattacharya14@gmail.com,Arnav Bhattacharya,Male,ICSE,86.7,Other state Board,93,Computer Science and Engineering,7.45,Yes,Yes,No,Yes,1,Yes,Placed
diya_kapoor58@gmail.com,Diya Kapoor,Female,CBSE,72.2,CBSE,74.8,Computer Science in AIML,8.02,Yes,Yes,No,Yes,2,Yes,Placed
vinayak12031521026@gmail.com,Vinayak kumar,Male,CBSE,75,CBSE,68,Computer Science and Engineering,8.2,Yes,No,Yes,Yes,4,Yes,Placed
mahii828113@gmail.com,Mahenoor Ahsan,Female,CBSE,95,CBSE,86.4,Information Technology,9.46,Yes,Yes,No,Yes,3,Yes,Not Placed
aishwarya_kar82@gmail.com,Aishwarya Kar,Female,State Board,88.1,ISE,60.2,Electrical and Electronics Engineering,8.61,No,No,No,Yes,2,Yes,Placed
anisha_jha88@gmail.com,Anisha Jha,Female,ICSE,94.3,ISE,72.3,Electrical Engineering,8.53,No,Yes,No,Yes,2,Yes,Placed
mishraravikishan950@gmail.com,Ravi kishan mishra,Male,WBBSE,85,WBCHSE,87,Information Technology,9.3,No,Yes,No,Yes,3,Yes,Placed
indrajit_mazumdar31@gmail.com,Indrajit Mazumdar,Male,ICSE,82.8,ISE,87.2,Electrical and Electronics Engineering,8.49,No,Yes,No,No,4,Yes,Not Placed
panthapatim@gmail.com,PANTHA PATIM BHATTACHARYA,Male,WBBSE,64,WBCHSE,68,Computer Science and Design,7.5,No,Yes,No,Yes,4,Yes,Placed
ishani_singh44@gmail.com,Ishani Singh,Female,ICSE,94,ISE,87.2,Electronics and Communication Engineering,9.31,Yes,No,No,Yes,5,Yes,Placed
aishwarya_mukherjee12@gmail.com,Aishwarya Mukherjee,Female,WBBSE,71.8,WBCHSE,93.3,Mechanical Engineering,9.01,Yes,No,No,No,2,No,Not Placed
nikhil_kumar94@gmail.com,Nikhil Kumar,Male,State Board,76,CBSE,60.3,Chemical Engineering,7.84,No,No,Yes,Yes,1,Yes,Not Placed
bikram_sarkar25@gmail.com,Bikram Sarkar,Male,State Board,72.2,CBSE,77,Information Technology,8.27,Yes,Yes,Yes,Yes,3,Yes,Not Placed
trisha_singhania81@gmail.com,Trisha Singhania,Female,ICSE,96.5,ISE,86.8,Electrical Engineering,9.29,No,Yes,No,Yes,3,Yes,Placed
indira_iyer26@gmail.com,Indira Iyer,Female,WBBSE,86.9,Other state Board,87.4,Chemical Engineering,9.02,No,Yes,No,Yes,4,No,Not Placed
ishika_sarkar75@gmail.com,Ishika Sarkar,Female,ICSE,82.4,Other state Board,88.6,Computer Science and Engineering,9.26,Yes,No,No,No,1,No,Not Placed
arjun_pathak34@gmail.com,Arjun Pathak,Male,ICSE,74.9,Other state Board,81.5,Information Technology,7.32,Yes,No,No,Yes,5,Yes,Placed
soma_singhania43@gmail.com,Soma Singhania,Female,WBBSE,75,Other state Board,81.1,Computer Science and Engineering,8.84,Yes,No,Yes,No,2,Yes,Not Placed
ishika_rajput89@gmail.com,Ishika Rajput,Female,CBSE,87.4,CBSE,81.6,Information Technology,7.03,No,Yes,No,Yes,2,Yes,Not Placed
tithi_bera57@gmail.com,Tithi Bera,Female,CBSE,73.9,CBSE,63.9,Computer Science in Data Science,7.92,Yes,No,No,Yes,4,Yes,Placed
suvankar_choudhury10@gmail.com,Suvankar Choudhury,Male,WBBSE,82.1,ISE,72.1,Electronics and Communication Engineering,8.11,Yes,No,No,Yes,4,Yes,Placed
mukesh_singh99@gmail.com,Mukesh Singh,Male,ICSE,70.1,Other state Board,74.7,Electronics and Communication Engineering,8.46,Yes,Yes,No,No,1,No,Not Placed
nayanika_kumari75@gmail.com,Nayanika Kumari,Female,State Board,82.7,ISE,92.2,Computer Science and Design,9.38,Yes,No,No,Yes,2,Yes,Placed
nisha_rao77@gmail.com,Nisha Rao,Female,ICSE,81.9,WBCHSE,84.5,Computer Science and Engineering,8.34,Yes,Yes,Yes,No,1,No,Not Placed
kavya_chauhan93@gmail.com,Kavya Chauhan,Female,CBSE,88.7,ISE,65.9,Electrical Engineering,7.15,No,No,No,Yes,5,No,Not Placed
raginigupta523@gmail.com,Ragini Gupta,Female,CBSE,93.5,Other state Board,69.8,Computer Science and Design,8.8,Yes,No,Yes,Yes,3,Yes,Not Placed
soma_mandal55@gmail.com,Soma Mandal,Female,CBSE,98.9,CBSE,94.1,Electronics and Communication Engineering,9.3,Yes,No,No,No,5,Yes,Not Placed
suvankar_banerjee38@gmail.com,Suvankar Banerjee,Male,ICSE,77.4,ISE,67.1,Computer Science and Design,8.95,No,Yes,No,No,5,Yes,Not Placed
dev_dey63@gmail.com,Dev Dey,Male,State Board,94.6,CBSE,88.3,Electronics and Communication Engineering,7.44,Yes,No,No,Yes,1,Yes,Placed
dev_bhowmick64@gmail.com,Dev Bhowmick,Male,CBSE,82.3,ISE,65.9,Electrical and Electronics Engineering,7.78,No,Yes,No,Yes,4,Yes,Placed
ananya_modi37@gmail.com,Ananya Modi,Female,CBSE,85.6,WBCHSE,68.2,Computer Science and Engineering,9.2,Yes,Yes,No,No,4,Yes,Not Placed
debika_bhattacharya89@gmail.com,Debika Bhattacharya,Female,WBBSE,88.2,ISE,71.5,Electronics and Communication Engineering,9.1,Yes,Yes,No,Yes,5,Yes,Placed
piyali_chatterjee88@gmail.com,Piyali Chatterjee,Female,WBBSE,96.8,Other state Board,94.9,Information Technology,7.82,Yes,No,Yes,No,2,Yes,Not Placed
tanushree_sharma2@gmail.com,Tanushree Sharma,Female,CBSE,86.7,Other state Board,63.9,Electronics and Communication Engineering,7.29,Yes,Yes,No,Yes,2,No,Not Placed
susmita_dey53@gmail.com,Susmita Dey,Female,ICSE,72.6,WBCHSE,91.6,Computer Science and Design,8.84,Yes,Yes,No,No,2,Yes,Not Placed
ishika_dutta71@gmail.com,Ishika Dutta,Female,ICSE,94.7,Other state Board,87.3,Computer Science and Engineering,7.67,Yes,No,No,No,2,No,Not Placed
amit_mahto68@gmail.com,Amit Mahto,Male,ICSE,99.6,Other state Board,94,Electrical and Electronics Engineering,7.18,No,Yes,Yes,Yes,5,No,Not Placed
sunidhi_jha16@gmail.com,Sunidhi Jha,Female,WBBSE,81.4,ISE,68.1,Electronics and Communication Engineering,7.57,Yes,Yes,No,Yes,2,No,Not Placed
rajesh_rana71@gmail.com,Rajesh Rana,Male,ICSE,77.7,CBSE,79.2,Electrical Engineering,7.15,No,No,Yes,No,5,Yes,Not Placed
debjit_pal41@gmail.com,Debjit Pal,Male,WBBSE,80.2,Other state Board,91.8,Computer Science and Engineering,8.97,Yes,No,No,Yes,5,Yes,Placed
khusi_kar6@gmail.com,Khusi Kar,Female,WBBSE,89.6,WBCHSE,78,Civil Engineering,8.57,Yes,Yes,No,Yes,1,Yes,Placed
anupama_singh46@gmail.com,Anupama Singh,Female,CBSE,71.4,ISE,92.3,Computer Science and Engineering,7.42,No,No,Yes,Yes,4,Yes,Not Placed
krishanuroy733@gmail.com,Krishanu Roy,Male,ICSE,87,CBSE,75,Computer Science and Engineering,9.47,Yes,Yes,No,Yes,3,No,Not Placed
trisha_mishra98@gmail.com,Trisha Mishra,Female,State Board,84.7,WBCHSE,84.4,Information Technology,7.25,No,Yes,No,No,1,No,Not Placed
debjit_biswas73@gmail.com,Debjit Biswas,Male,WBBSE,72,CBSE,64.4,Information Technology,8.33,Yes,Yes,No,Yes,5,Yes,Placed
subhash_mukherjee57@gmail.com,Subhash Mukherjee,Male,ICSE,74.8,ISE,83.9,Computer Science in AIML,9.17,Yes,Yes,No,Yes,2,Yes,Placed
anupamnandi777@gmail.com,Anupam Nandi,Male,WBBSE,70,WBCHSE,78,Computer Science and Design,8.9,Yes,No,No,Yes,2,Yes,Placed
soma_kapoor10@gmail.com,Soma Kapoor,Female,WBBSE,75.9,WBCHSE,85.2,Computer Science and Design,8.43,No,Yes,No,Yes,1,Yes,Placed
anupama_mazumdar80@gmail.com,Anupama Mazumdar,Female,State Board,72.4,CBSE,67.6,Civil Engineering,8.12,No,No,No,Yes,4,Yes,Placed
indira_pal59@gmail.com,Indira Pal,Female,WBBSE,96.2,CBSE,60.1,Civil Engineering,7.49,No,Yes,No,Yes,1,Yes,Placed
yjanardhanreddy111@gmail.com,Yeddula Janardhan Reddy,Male,State Board,93,Other state Board,92,Computer Science and Engineering,90,Yes,No,No,No,3,Yes,Not Placed
ankit_choudhary86@gmail.com,Ankit Choudhary,Male,State Board,70,ISE,94.8,Computer Science in AIML,9.48,Yes,No,No,Yes,5,Yes,Placed
jaya_pandey78@gmail.com,Jaya Pandey,Female,ICSE,75.6,WBCHSE,68.9,Electrical and Electronics Engineering,8.95,No,No,Yes,Yes,3,No,Not Placed
tapasgarai739@gmail.com,Tapas Garai,Male,WBBSE,60,WBCHSE,69,Computer Science and Design,9,No,No,No,No,3,No,Placed
kaushik_mukherjee31@gmail.com,Kaushik Mukherjee,Male,CBSE,85.3,Other state Board,72.8,Mechanical Engineering,8.85,Yes,Yes,No,Yes,2,Yes,Placed
piyali_bhattacharya78@gmail.com,Piyali Bhattacharya,Female,ICSE,89.2,CBSE,82.7,Computer Science and Design,9.37,Yes,No,No,Yes,1,Yes,Placed
smita_shukla34@gmail.com,Smita Shukla,Female,WBBSE,94.9,WBCHSE,84.7,Electrical Engineering,8.59,No,No,No,Yes,3,No,Not Placed
joy_ghosh41@gmail.com,Joy Ghosh,Male,CBSE,87,CBSE,87.8,Electrical Engineering,8.15,Yes,No,Yes,Yes,4,Yes,Not Placed
kavya_biswas89@gmail.com,Kavya Biswas,Female,CBSE,98.7,CBSE,60.9,Electronics and Communication Engineering,7.19,Yes,No,No,Yes,4,No,Not Placed
saurabh_choudhary98@gmail.com,Saurabh Choudhary,Male,CBSE,84.6,ISE,79.1,Electrical Engineering,9.44,No,No,No,Yes,1,Yes,Placed
shubham_choudhary62@gmail.com,Shubham Choudhary,Male,State Board,80.4,CBSE,65.6,Mechanical Engineering,7.97,No,No,No,Yes,4,Yes,Placed
arnav_pal91@gmail.com,Arnav Pal,Male,State Board,80.3,WBCHSE,74.9,Mechanical Engineering,9.12,Yes,No,Yes,Yes,4,Yes,Not Placed
riya_mitra24@gmail.com,Riya Mitra,Female,ICSE,95.4,Other state Board,65.8,Civil Engineering,7.42,No,Yes,Yes,Yes,4,Yes,Not Placed
aparna_srivastava87@gmail.com,Aparna Srivastava,Female,State Board,87.5,Other state Board,78.9,Civil Engineering,8.46,No,No,No,No,4,Yes,Not Placed
ujjal_mitra69@gmail.com,Ujjal Mitra,Male,ICSE,91.8,WBCHSE,89.5,Information Technology,8.47,Yes,No,No,Yes,2,Yes,Placed
riya_banerjee31@gmail.com,Riya Banerjee,Female,ICSE,95.4,WBCHSE,93,Civil Engineering,8.58,No,Yes,No,Yes,2,Yes,Placed
rakesh_thakur16@gmail.com,Rakesh Thakur,Male,State Board,96.4,ISE,83,Mechanical Engineering,7.17,Yes,No,No,Yes,1,Yes,Placed
meyenka_verma92@gmail.com,Meyenka Verma,Female,State Board,79.6,CBSE,87.4,Electrical and Electronics Engineering,8.54,No,Yes,No,Yes,1,Yes,Not Placed
shreya_mahato48@gmail.com,Shreya Mahato,Female,State Board,100,WBCHSE,93.1,Electrical and Electronics Engineering,8.34,No,No,No,Yes,4,Yes,Placed
nayana_gupta76@gmail.com,Nayana Gupta,Female,WBBSE,70.5,CBSE,82.9,Electrical and Electronics Engineering,9.32,Yes,Yes,No,Yes,2,Yes,Placed
ghoshsubham778@gmail.com,Subham Ghosh,Male,WBBSE,70,WBBSE,80,Computer Science and Engineering,9.1,No,Yes,Yes,Yes,3,Yes,Placed
rohan_chatterjee73@gmail.com,Rohan Chatterjee,Male,State Board,86.8,CBSE,64.6,Electronics and Communication Engineering,9,Yes,Yes,Yes,Yes,1,No,Not Placed
gopal_das52@gmail.com,Gopal Das,Male,ICSE,91.4,ISE,92.2,Computer Science and Engineering,7.96,Yes,No,No,Yes,4,Yes,Placed
rahul_mandal28@gmail.com,Rahul Mandal,Male,CBSE,70.4,ISE,89.3,Electrical Engineering,9.48,No,No,No,Yes,2,Yes,Placed
anand_mahto91@gmail.com,Anand Mahto,Male,State Board,78.6,CBSE,83.9,Electrical Engineering,7.99,No,Yes,No,Yes,2,Yes,Placed
debanshu_ganguly14@gmail.com,Debanshu Ganguly,Male,WBBSE,90.5,WBCHSE,61,Computer Science in Data Science,9.39,Yes,Yes,No,Yes,4,Yes,Placed
debika_choudhary46@gmail.com,Debika Choudhary,Female,CBSE,91.8,Other state Board,78.7,Computer Science in Data Science,7.62,Yes,Yes,No,Yes,1,Yes,Placed
samik_mahato28@gmail.com,Samik Mahato,Male,WBBSE,91.9,WBCHSE,79.9,Computer Science in AIML,7.13,No,Yes,No,Yes,5,Yes,Placed
ankita_bhuiyan57@gmail.com,Ankita Bhuiyan,Female,WBBSE,74.1,Other state Board,67.8,Computer Science and Engineering,7.16,No,No,No,Yes,4,Yes,Placed
jaya_mazumdar74@gmail.com,Jaya Mazumdar,Female,ICSE,96.7,WBCHSE,75.7,Computer Science and Design,8.88,Yes,Yes,No,Yes,3,Yes,Placed
tanushree_chatterjee8@gmail.com,Tanushree Chatterjee,Female,CBSE,81.2,Other state Board,74.7,Computer Science in Data Science,7.09,No,Yes,Yes,No,3,Yes,Not Placed
tanushree_ganguly17@gmail.com,Tanushree Ganguly,Female,State Board,80.2,WBCHSE,94.3,Electrical and Electronics Engineering,8.8,No,No,Yes,Yes,5,Yes,Not Placed
ritika_pandey5@gmail.com,Ritika Pandey,Female,CBSE,99.5,CBSE,90.1,Electrical Engineering,7.37,No,No,No,Yes,1,Yes,Placed
rohan_rana72@gmail.com,Rohan Rana,Male,CBSE,83.1,CBSE,61.9,Electronics and Communication Engineering,7.37,Yes,No,No,Yes,3,Yes,Placed
tanushree_mandal24@gmail.com,Tanushree Mandal,Female,CBSE,75.5,WBCHSE,73.8,Computer Science in Data Science,8.55,No,Yes,No,Yes,5,Yes,Placed
bharat_sharma46@gmail.com,Bharat Sharma,Male,ICSE,76.3,CBSE,81.8,Information Technology,9.07,Yes,Yes,No,Yes,5,Yes,Placed
arpita_biswas29@gmail.com,Arpita Biswas,Female,ICSE,73,WBCHSE,72.8,Electrical Engineering,8.35,No,No,No,No,4,Yes,Not Placed
rajesh_mandal97@gmail.com,Rajesh Mandal,Male,State Board,84.2,ISE,78.8,Electronics and Communication Engineering,8.88,Yes,No,No,Yes,3,Yes,Placed
gopal_sah27@gmail.com,Gopal Sah,Male,CBSE,90.6,CBSE,69.9,Civil Engineering,8.33,No,No,No,Yes,2,Yes,Placed
shifasayyad032@gmail.com,Sayyed Shifa Imdadulla Hussaini,Female,State Board,94.6,Diploma board - MSBTE,91.5,Electronics Engineering,8.3,Yes,Yes,Yes,No,2,Yes,Not Placed
susmita_ghosh64@gmail.com,Susmita Ghosh,Female,WBBSE,81.2,WBCHSE,70,Electrical and Electronics Engineering,7.36,No,Yes,No,Yes,2,Yes,Not Placed
imanimesh1210@gmail.com,Animesh Mahata,Male,CBSE,83,CBSE,88,Computer Science and Engineering,7.9,No,No,No,No,2,No,Placed
rohan_kumar_rai22@gmail.com,Rohan Kumar Rai,Male,CBSE,92.3,CBSE,91.3,Computer Science in AIML,8.78,Yes,Yes,Yes,No,2,Yes,Not Placed
kavya_iyer77@gmail.com,Kavya Iyer,Female,WBBSE,96.6,WBCHSE,85,Electrical Engineering,8.54,Yes,No,No,Yes,4,Yes,Placed
ujjal_bardhan9@gmail.com,Ujjal Bardhan,Male,ICSE,71.3,WBCHSE,91.8,Mechanical Engineering,7.52,No,Yes,No,Yes,1,Yes,Placed
samikmandal9@gmail.com,SAMIK MANDAL,Male,CBSE,79,CBSE,83,Computer Science and Design,9.21,No,No,No,No,4,Yes,Not Placed
nayana_gupta89@gmail.com,Nayana Gupta,Female,CBSE,74,WBCHSE,92,Information Technology,7.34,Yes,Yes,No,Yes,4,Yes,Placed
rajesh_sharma10@gmail.com,Rajesh Sharma,Male,ICSE,95.2,ISE,60.9,Mechanical Engineering,8.89,Yes,Yes,Yes,No,2,No,Not Placed
dhrubosh@gmail.com,Dhrubojyoti Saha,Male,WBBSE,32,WBCHSE,59.83,Information Technology,9.2,No,No,No,Yes,2,Yes,Not Placed
